"WAVELENGTH (MICRONS)" "FLUX (ERG/CM2/S/A)"
2.000000000e-01 5.4720005e-04
2.000400000e-01 4.2556115e-04
2.000800080e-01 3.4272979e-04
2.001200240e-01 1.9085958e-04
2.001600480e-01 2.9246011e-04
2.002000800e-01 3.9408097e-04
2.002401200e-01 4.8709459e-04
2.002801681e-01 5.2127277e-04
2.003202241e-01 5.5611931e-04
2.003602881e-01 5.8851750e-04
2.004003602e-01 6.2092217e-04
2.004404403e-01 6.4340996e-04
2.004805284e-01 6.0270451e-04
2.005206245e-01 5.5561163e-04
2.005607286e-01 5.3268651e-04
2.006008407e-01 5.0975681e-04
2.006409609e-01 4.8997547e-04
2.006810891e-01 4.8826200e-04
2.007212253e-01 4.6379858e-04
2.007613696e-01 5.2838465e-04
2.008015218e-01 5.9298364e-04
2.008416821e-01 6.3732083e-04
2.008818505e-01 5.8006809e-04
2.009220268e-01 5.3563112e-04
2.009622112e-01 4.3862316e-04
2.010024037e-01 3.4159579e-04
2.010426042e-01 3.1178778e-04
2.010828127e-01 5.7025981e-04
2.011230292e-01 9.2519286e-04
2.011632539e-01 8.5980977e-04
2.012034865e-01 7.9441361e-04
2.012437272e-01 7.5171002e-04
2.012839759e-01 7.9100326e-04
2.013242327e-01 8.8651504e-04
2.013644976e-01 7.1562056e-04
2.014047705e-01 5.4469191e-04
2.014450514e-01 4.1589185e-04
2.014853405e-01 4.1389513e-04
2.015256375e-01 4.3109661e-04
2.015659426e-01 3.4644980e-04
2.016062558e-01 2.6178605e-04
2.016465771e-01 2.7616207e-04
2.016869064e-01 5.3653297e-04
2.017272438e-01 8.7907355e-04
2.017675892e-01 7.1239803e-04
2.018079428e-01 5.4568917e-04
2.018483043e-01 5.0809620e-04
2.018886740e-01 7.3320106e-04
2.019290517e-01 1.0064224e-03
2.019694375e-01 9.0523573e-04
2.020098314e-01 8.0402884e-04
2.020502334e-01 7.5171677e-04
2.020906434e-01 7.8022768e-04
2.021310616e-01 8.1173579e-04
2.021714878e-01 8.0955156e-04
2.022119221e-01 8.0736690e-04
2.022523645e-01 7.8752543e-04
2.022928149e-01 7.4420945e-04
2.023332735e-01 7.1045877e-04
2.023737402e-01 4.4272475e-04
2.024142149e-01 1.7493717e-04
2.024546978e-01 1.6154604e-04
2.024951887e-01 4.1670189e-04
2.025356877e-01 6.6837673e-04
2.025761949e-01 7.1559874e-04
2.026167101e-01 7.5466649e-04
2.026572334e-01 8.1999498e-04
2.026977649e-01 8.8533654e-04
2.027383044e-01 9.4906320e-04
2.027788521e-01 9.9445468e-04
2.028194079e-01 1.1100156e-03
2.028599718e-01 9.7289871e-04
2.029005438e-01 8.3575441e-04
2.029411239e-01 7.4247450e-04
2.029817121e-01 8.9618495e-04
2.030223084e-01 1.1142540e-03
2.030629129e-01 1.0622202e-03
2.031035255e-01 1.0101760e-03
2.031441462e-01 9.6329452e-04
2.031847750e-01 9.3420956e-04
2.032254120e-01 9.7078035e-04
2.032660570e-01 6.6333485e-04
2.033067103e-01 3.5582786e-04
2.033473716e-01 2.4244003e-04
2.033880411e-01 5.7314508e-04
2.034287187e-01 9.4241045e-04
2.034694044e-01 1.0239109e-03
2.035100983e-01 1.1054277e-03
2.035508003e-01 1.0669272e-03
2.035915105e-01 8.3920560e-04
2.036322288e-01 5.9985170e-04
2.036729552e-01 5.4232030e-04
2.037136898e-01 4.8477739e-04
2.037544326e-01 5.2074860e-04
2.037951834e-01 6.5930977e-04
2.038359425e-01 7.9594537e-04
2.038767097e-01 8.5007319e-04
2.039174850e-01 9.2976952e-04
2.039582685e-01 9.2440812e-04
2.039990602e-01 9.1904565e-04
2.040398600e-01 9.0422789e-04
2.040806680e-01 8.1947871e-04
2.041214841e-01 6.9518623e-04
2.041623084e-01 7.2979095e-04
2.042031408e-01 7.6440259e-04
2.042439815e-01 7.7027541e-04
2.042848303e-01 6.7416191e-04
2.043256872e-01 5.3129948e-04
2.043665524e-01 6.6486840e-04
2.044074257e-01 7.9846404e-04
2.044483072e-01 8.9350899e-04
2.044891968e-01 9.1690442e-04
2.045300947e-01 9.3112485e-04
2.045710007e-01 1.0506813e-03
2.046119149e-01 1.1702616e-03
2.046528373e-01 1.0867758e-03
2.046937678e-01 7.6511967e-04
2.047347066e-01 4.5156163e-04
2.047756535e-01 6.0278974e-04
2.048166087e-01 8.6215734e-04
2.048575720e-01 7.5880688e-04
2.048985435e-01 6.5543575e-04
2.049395232e-01 5.3672647e-04
2.049805111e-01 3.1964247e-04
2.050215072e-01 -8.7064176e-05
2.050625115e-01 3.1800928e-04
2.051035240e-01 7.2316375e-04
2.051445447e-01 1.0604174e-03
2.051855736e-01 1.2012204e-03
2.052266107e-01 1.4345669e-03
2.052676561e-01 1.0615282e-03
2.053087096e-01 6.8841478e-04
2.053497713e-01 5.3251630e-04
2.053908413e-01 7.2509455e-04
2.054319195e-01 9.2737344e-04
2.054730058e-01 9.2922109e-04
2.055141004e-01 9.5469924e-04
2.055552033e-01 9.0773926e-04
2.055963143e-01 8.6076990e-04
2.056374336e-01 8.3937044e-04
2.056785611e-01 1.0987722e-03
2.057196968e-01 1.4936067e-03
2.057608407e-01 1.3636824e-03
2.058019929e-01 1.2337321e-03
2.058431533e-01 1.1232559e-03
2.058843219e-01 1.0809593e-03
2.059254988e-01 1.0138229e-03
2.059666839e-01 1.0918069e-03
2.060078772e-01 1.1698065e-03
2.060490788e-01 1.1783955e-03
2.060902886e-01 1.0666868e-03
2.061315067e-01 9.5530083e-04
2.061727330e-01 8.3784215e-04
2.062139675e-01 6.0520079e-04
2.062552103e-01 7.2478427e-04
2.062964613e-01 8.4439166e-04
2.063377206e-01 9.5306385e-04
2.063789882e-01 9.5116554e-04
2.064202640e-01 9.2400013e-04
2.064615480e-01 9.9804101e-04
2.065028403e-01 1.0720967e-03
2.065441409e-01 1.1683591e-03
2.065854497e-01 1.3328426e-03
2.066267668e-01 1.5345432e-03
2.066680922e-01 1.4866472e-03
2.067094258e-01 1.4387415e-03
2.067507677e-01 1.4061050e-03
2.067921178e-01 1.3958584e-03
2.068334763e-01 1.3854465e-03
2.068748430e-01 1.3880899e-03
2.069162179e-01 1.3823441e-03
2.069576012e-01 1.4045131e-03
2.069989927e-01 1.4266866e-03
2.070403925e-01 1.4941220e-03
2.070818006e-01 1.8094652e-03
2.071232169e-01 2.3536354e-03
2.071646416e-01 1.7902772e-03
2.072060745e-01 1.2268064e-03
2.072475157e-01 8.3573903e-04
2.072889652e-01 8.0110921e-04
2.073304230e-01 5.4172559e-04
2.073718891e-01 3.1124470e-03
2.074133635e-01 7.7741933e-03
2.074548461e-01 6.1436878e-03
2.074963371e-01 4.5128562e-03
2.075378364e-01 2.9857863e-03
2.075793439e-01 2.4804773e-03
2.076208598e-01 2.0475387e-03
2.076623840e-01 1.3130114e-03
2.077039165e-01 5.7833712e-04
2.077454572e-01 3.3511891e-04
2.077870063e-01 1.3829226e-03
2.078285637e-01 2.6898929e-03
2.078701295e-01 1.7581276e-03
2.079117035e-01 8.2617600e-04
2.079532858e-01 4.5072024e-04
2.079948765e-01 7.1890387e-04
2.080364755e-01 9.8551337e-04
2.080780827e-01 1.2264450e-03
2.081196984e-01 4.1304961e-04
2.081613223e-01 3.7227647e-03
2.082029546e-01 7.0331417e-03
2.082445952e-01 9.0699086e-03
2.082862441e-01 7.3725235e-03
2.083279013e-01 5.5537397e-03
2.083695669e-01 4.6827416e-03
2.084112408e-01 3.8115693e-03
2.084529231e-01 3.3682947e-03
2.084946137e-01 3.4398858e-03
2.085363126e-01 3.6116291e-03
2.085780198e-01 5.4892359e-03
2.086197354e-01 9.1377538e-03
2.086614594e-01 5.8372807e-03
2.087031917e-01 2.5361474e-03
2.087449323e-01 1.9320108e-04
2.087866813e-01 5.5244948e-04
2.088284386e-01 9.4626968e-04
2.088702043e-01 1.0465679e-03
2.089119784e-01 1.1468862e-03
2.089537608e-01 2.3742610e-03
2.089955515e-01 4.8581152e-03
2.090373506e-01 7.3020151e-03
2.090791581e-01 9.2821340e-03
2.091209739e-01 1.3194711e-02
2.091627981e-01 8.9721442e-03
2.092046307e-01 4.7487332e-03
2.092464716e-01 2.2022595e-03
2.092883209e-01 3.6070650e-03
2.093301786e-01 5.2592379e-03
2.093720446e-01 3.9576271e-03
2.094139190e-01 1.9749082e-03
2.094558018e-01 2.1672381e-03
2.094976930e-01 2.3596065e-03
2.095395925e-01 2.7087994e-03
2.095815004e-01 3.8979199e-03
2.096234167e-01 5.4121975e-03
2.096653414e-01 5.1803456e-03
2.097072745e-01 4.9484473e-03
2.097492159e-01 4.2982957e-03
2.097911658e-01 2.9844224e-03
2.098331240e-01 1.6911800e-03
